condition,episode_idx,success,total_reward,final_distance,recovery_triggered_count,first_recovery_step,steps_to_success,max_distance_from_goal
clean,0,1,-3.0,0.012920981529213393,0,-1,3,0.2126081706012402
clean,1,1,0.0,0.025013552400856762,0,-1,0,0.07703805445128271
clean,2,1,-3.0,0.03369324830655779,0,-1,3,0.21970261797146862
clean,3,1,-2.0,0.015008769250940473,0,-1,2,0.18926669847066732
clean,4,1,-2.0,0.023135201685822938,0,-1,2,0.14660650620344126
clean,5,1,-2.0,0.02447648224367211,0,-1,2,0.15547349893199733
clean,6,1,-1.0,0.018906380266496704,0,-1,1,0.13143243039550298
clean,7,1,-3.0,0.012665740453235246,0,-1,3,0.15705194785710522
clean,8,1,-2.0,0.01993237044354336,0,-1,2,0.1610713214636968
clean,9,1,-1.0,0.008736418474050477,0,-1,1,0.1276351569794473
clean,10,1,0.0,0.023451813594068865,0,-1,0,0.0878287410149235
clean,11,1,-2.0,0.012492507096690796,0,-1,2,0.1750036780182428
clean,12,1,0.0,0.026819663676772288,0,-1,0,0.07166812335207509
clean,13,1,0.0,0.02587984884821344,0,-1,0,0.06497799272607774
clean,14,1,-2.0,0.01692452736189783,0,-1,2,0.1475597556340611
clean,15,1,-2.0,0.0158532660112031,0,-1,2,0.18152304154785553
clean,16,1,-2.0,0.0183320369438413,0,-1,2,0.1908088374939713
clean,17,1,-1.0,0.025570327849505855,0,-1,1,0.11681842206328344
clean,18,1,-2.0,0.017853037326595413,0,-1,2,0.18026240261156895
clean,19,1,-2.0,0.0075464596115430915,0,-1,2,0.15515845574024886
clean,20,1,0.0,0.017094572335969022,0,-1,0,0.08300719139837222
clean,21,1,-2.0,0.023957457341277244,0,-1,2,0.16539514762640561
clean,22,1,-2.0,0.01309404981448255,0,-1,2,0.17868521857959974
clean,23,1,-2.0,0.025588458376790704,0,-1,2,0.1375451110013178
clean,24,1,-3.0,0.01238579765973899,0,-1,3,0.1544807513000469
clean,25,1,-2.0,0.014237540751171276,0,-1,2,0.15576040285586337
clean,26,1,-1.0,0.014757572928765615,0,-1,1,0.08618790433416589
clean,27,1,-1.0,0.016861841589322094,0,-1,1,0.09806183656829275
clean,28,1,-2.0,0.01447112252833127,0,-1,2,0.18672429864373966
clean,29,1,-3.0,0.03009134784729574,0,-1,3,0.23946698692814478
clean,30,1,-3.0,0.01076349893837996,0,-1,3,0.2270549002769782
clean,31,1,-3.0,0.013896572703509504,0,-1,3,0.2118754100520053
clean,32,1,-1.0,0.026055030066807212,0,-1,1,0.1258399580469583
clean,33,1,-2.0,0.0296340114324491,0,-1,2,0.17108077210062403
clean,34,1,-2.0,0.013430038215438088,0,-1,2,0.1309616199386691
clean,35,1,-2.0,0.019825389981825193,0,-1,2,0.15818758421212362
clean,36,1,-3.0,0.02934243980348238,0,-1,3,0.21314003481264876
clean,37,1,-2.0,0.012289327199952372,0,-1,2,0.15024861447617377
clean,38,1,-3.0,0.01621057986310642,0,-1,3,0.21054393648542444
clean,39,1,-2.0,0.01340320407351997,0,-1,2,0.14888824610279877
clean,40,1,-1.0,0.028250665285378316,0,-1,1,0.10764628615790996
clean,41,1,-2.0,0.00811320433317225,0,-1,2,0.18167867374695248
clean,42,1,0.0,0.02215498228786926,0,-1,0,0.0704495748004755
clean,43,1,-1.0,0.0231821889098666,0,-1,1,0.11397860787396834
clean,44,1,-1.0,0.02067678435205694,0,-1,1,0.1059772325986583
clean,45,1,-2.0,0.020136120934077472,0,-1,2,0.14405498924709897
clean,46,1,-2.0,0.01458676033522708,0,-1,2,0.15173602931994382
clean,47,1,-2.0,0.02265144690466881,0,-1,2,0.1862895187849278
clean,48,1,-2.0,0.013022048878483463,0,-1,2,0.14073427199783714
clean,49,1,-3.0,0.009100126013317356,0,-1,3,0.19807083535644632
clean,50,1,-1.0,0.016175117672075953,0,-1,1,0.10195682543909834
clean,51,1,-2.0,0.013955965483154538,0,-1,2,0.20551350357589276
clean,52,1,-2.0,0.02420283577923691,0,-1,2,0.13852686535907868
clean,53,1,-2.0,0.016058023198119047,0,-1,2,0.16517563550290348
