condition,episode_idx,step,distance_to_goal,recovery_triggered,action_norm
clean,0,0,0.2126081706012402,0,1.9290759563446045
clean,0,1,0.1609091010924429,0,1.8410416841506958
clean,0,2,0.10574627778157648,0,1.6937607526779175
clean,0,3,0.05667495050819672,0,1.1760817766189575
clean,0,4,0.02276640155927688,0,0.78214430809021
clean,0,5,0.014442232064294881,0,0.5614175200462341
clean,0,6,0.013947134704979304,0,0.5369992852210999
clean,0,7,0.013831677766749996,0,0.5375362634658813
clean,0,8,0.013752064595377323,0,0.5372781157493591
clean,0,9,0.013732438428684195,0,0.5372602939605713
clean,0,10,0.013729321112806185,0,0.5372316837310791
clean,0,11,0.01372177118670234,0,0.5372375845909119
clean,0,12,0.013716305830529046,0,0.5372183918952942
clean,0,13,0.01370701003330448,0,0.5371894240379333
clean,0,14,0.013694643650165726,0,0.537145733833313
clean,0,15,0.013676559221859494,0,0.5370829701423645
clean,0,16,0.01365065426811723,0,0.5369932055473328
clean,0,17,0.013613462507503,0,0.5368677973747253
clean,0,18,0.013561540959994404,0,0.5367038249969482
clean,0,19,0.013494647348926437,0,0.5365096926689148
clean,0,20,0.01344042368258961,0,0.5362717509269714
clean,0,21,0.013362252760917378,0,0.5361067652702332
clean,0,22,0.013374831389228712,0,0.5358657240867615
clean,0,23,0.013336556943099863,0,0.5357701778411865
clean,0,24,0.01329481833411563,0,0.5356900095939636
clean,0,25,0.013244169700851061,0,0.5356031060218811
clean,0,26,0.013190140254027132,0,0.5355443358421326
clean,0,27,0.013169493076318031,0,0.5354602932929993
clean,0,28,0.013125744587188234,0,0.5354483127593994
clean,0,29,0.013085555214545637,0,0.5354401469230652
clean,0,30,0.013047673530454232,0,0.5354429483413696
clean,0,31,0.013015133206484094,0,0.5354579091072083
clean,0,32,0.012986952918691253,0,0.5354803204536438
clean,0,33,0.01296357295921838,0,0.5354961156845093
clean,0,34,0.012952826099559504,0,0.5354874134063721
clean,0,35,0.012937400976049547,0,0.5355090498924255
clean,0,36,0.012923149770204966,0,0.5355287790298462
clean,0,37,0.012910933999113779,0,0.5355472564697266
clean,0,38,0.012901088152186704,0,0.5355643630027771
clean,0,39,0.012893086515246264,0,0.5355803966522217
clean,0,40,0.01288640661376812,0,0.5355935096740723
clean,0,41,0.01288053664887695,0,0.5356069207191467
clean,0,42,0.012876573076479622,0,0.535616934299469
clean,0,43,0.01287280646157456,0,0.5356285572052002
clean,0,44,0.012871089400050452,0,0.5356356501579285
clean,0,45,0.012873395387056133,0,0.5356424450874329
clean,0,46,0.012882272229093179,0,0.5356345176696777
clean,0,47,0.012893899018779546,0,0.5356221795082092
clean,0,48,0.012906267096736262,0,0.5356048345565796
clean,0,49,0.012915241350711598,0,0.5355901122093201
clean,1,0,0.07703805445128271,0,1.3968751430511475
clean,1,1,0.03939508185822132,0,0.9746419787406921
clean,1,2,0.01757851614264951,0,0.33028459548950195
clean,1,3,0.01943033769444162,0,0.16682466864585876
clean,1,4,0.023954323763397907,0,0.09905742108821869
clean,1,5,0.024241564661328333,0,0.0782921090722084
clean,1,6,0.025047709128746085,0,0.08380851149559021
clean,1,7,0.024834159795434255,0,0.07710625231266022
clean,1,8,0.025108414861564236,0,0.08115032315254211
clean,1,9,0.024950225245560707,0,0.07799115031957626
clean,1,10,0.025081362555620355,0,0.08012266457080841
clean,1,11,0.024984672083675556,0,0.07852521538734436
clean,1,12,0.025050346292404164,0,0.07966360449790955
clean,1,13,0.024997594964680597,0,0.07884512841701508
clean,1,14,0.025031190678795178,0,0.07944314926862717
clean,1,15,0.025003886502133678,0,0.07902364432811737
clean,1,16,0.025021178774443313,0,0.07933206111192703
clean,1,17,0.02500743310191247,0,0.07911845296621323
clean,1,18,0.025016392274159426,0,0.0792761743068695
clean,1,19,0.02500953752055828,0,0.07916753739118576
clean,1,20,0.02501406425112538,0,0.07924690842628479
clean,1,21,0.025010605938656286,0,0.0791919007897377
clean,1,22,0.025013014485630154,0,0.07923246175050735
clean,1,23,0.02501133324421734,0,0.0792044848203659
clean,1,24,0.02501261021670463,0,0.07922571152448654
clean,1,25,0.025011784149938134,0,0.07921112328767776
clean,1,26,0.025012333459973436,0,0.07922124117612839
clean,1,27,0.025012034931566257,0,0.07921531051397324
clean,1,28,0.025012381485190048,0,0.07921988517045975
clean,1,29,0.02501228510311221,0,0.07921672612428665
clean,1,30,0.02501242076738597,0,0.07921835780143738
clean,1,31,0.025012452972327768,0,0.0792188048362732
clean,1,32,0.02501247828888848,0,0.07921772450208664
clean,1,33,0.025012511769761846,0,0.07921810448169708
clean,1,34,0.025012603026381103,0,0.07921891659498215
clean,1,35,0.025012713769836537,0,0.07921864092350006
clean,1,36,0.025012703182781214,0,0.0792178213596344
clean,1,37,0.025012773947927204,0,0.07921907305717468
clean,1,38,0.025012835235210456,0,0.0792185440659523
clean,1,39,0.025012894750935318,0,0.07921887189149857
clean,1,40,0.02501298766415372,0,0.07921920716762543
clean,1,41,0.025012937734956768,0,0.07921845465898514
clean,1,42,0.02501311575430907,0,0.07921984791755676
clean,1,43,0.02501303934171104,0,0.07921800017356873
clean,1,44,0.02501321148091889,0,0.07922036945819855
clean,1,45,0.025013158522808,0,0.07921864837408066
clean,1,46,0.025013279721835046,0,0.07921965420246124
clean,1,47,0.02501324403076208,0,0.07921908050775528
clean,1,48,0.02501341209223874,0,0.0792199969291687
clean,1,49,0.025013379277256848,0,0.07921933382749557
clean,2,0,0.21970261797146862,0,1.9437047243118286
clean,2,1,0.1680985492176846,0,1.8656132221221924
clean,2,2,0.11330417133094724,0,1.6674402952194214
clean,2,3,0.0639390269867108,0,1.3310610055923462
clean,2,4,0.032761822870187605,0,1.104148030281067
clean,2,5,0.03314870022346788,0,1.0491646528244019
clean,2,6,0.03266015871271302,0,1.0074255466461182
clean,2,7,0.032479174500214036,0,0.9831546545028687
clean,2,8,0.03248826404950553,0,0.9681640267372131
clean,2,9,0.03258526879758082,0,0.9584397673606873
clean,2,10,0.032722126349102966,0,0.9522258043289185
clean,2,11,0.03286814475811249,0,0.9482661485671997
clean,2,12,0.03300765929754108,0,0.9457448124885559
clean,2,13,0.03313289055452548,0,0.9441234469413757
clean,2,14,0.03324085691206595,0,0.9430716633796692
clean,2,15,0.033331393906217026,0,0.9423844814300537
clean,2,16,0.03340584993059186,0,0.9419304132461548
clean,2,17,0.03346621550957147,0,0.9416269659996033
clean,2,18,0.03351463445289394,0,0.9414212703704834
clean,2,19,0.033553153889550436,0,0.941279947757721
clean,2,20,0.033583613635757285,0,0.9411812424659729
clean,2,21,0.033607587378171086,0,0.9411115646362305
clean,2,22,0.03362638445158848,0,0.9410614371299744
clean,2,23,0.03364108536150129,0,0.9410248398780823
clean,2,24,0.03365254708350333,0,0.9409980773925781
clean,2,25,0.033661479531725505,0,0.9409781694412231
clean,2,26,0.03366843790245789,0,0.9409632086753845
clean,2,27,0.03367384902716014,0,0.9409518241882324
clean,2,28,0.033678051388516414,0,0.94094318151474
clean,2,29,0.033681320327411626,0,0.9409366846084595
clean,2,30,0.033683863254965286,0,0.940931499004364
clean,2,31,0.03368584007513437,0,0.9409275054931641
clean,2,32,0.03368738383500939,0,0.9409245252609253
clean,2,33,0.033688587109566424,0,0.9409221410751343
clean,2,34,0.03368952859705641,0,0.9409201741218567
clean,2,35,0.033690263917556584,0,0.9409187436103821
clean,2,36,0.03369084380281089,0,0.9409176707267761
clean,2,37,0.03369130688164669,0,0.9409166574478149
clean,2,38,0.03369167850486407,0,0.9409158825874329
clean,2,39,0.03369197580619272,0,0.9409153461456299
clean,2,40,0.03369221596107276,0,0.9409147500991821
clean,2,41,0.033692410871132464,0,0.9409143924713135
clean,2,42,0.03369256842923763,0,0.9409140944480896
clean,2,43,0.03369269566582755,0,0.9409136772155762
clean,2,44,0.0336928076452442,0,0.9409135580062866
clean,2,45,0.03369290447093153,0,0.9409132599830627
clean,2,46,0.0336929883236343,0,0.9409130811691284
clean,2,47,0.03369306423333796,0,0.9409127235412598
clean,2,48,0.03369313043481003,0,0.9409127831459045
clean,2,49,0.03369319236745955,0,0.9409125447273254
clean,3,0,0.18926669847066732,0,1.9322922229766846
clean,3,1,0.1390780281996905,0,1.7902467250823975
clean,3,2,0.08887010473028135,0,1.448427438735962
clean,3,3,0.04724592329996326,0,0.9455324411392212
clean,3,4,0.020477285202781005,0,0.3506629168987274
clean,3,5,0.016050661889666928,0,0.19905759394168854
clean,3,6,0.015248709710809633,0,0.1764628291130066
clean,3,7,0.015212563513697543,0,0.17789486050605774
clean,3,8,0.015112230062513226,0,0.17654012143611908
clean,3,9,0.015096932937875927,0,0.17695069313049316
clean,3,10,0.015063347491043091,0,0.17673259973526
clean,3,11,0.015055437747854842,0,0.1769033968448639
clean,3,12,0.015068047857953782,0,0.1769215315580368
clean,3,13,0.015089839750858725,0,0.17678700387477875
clean,3,14,0.015093255848678926,0,0.17664659023284912
clean,3,15,0.01508083286045187,0,0.1765766441822052
clean,3,16,0.015061461471213808,0,0.1765645146369934
clean,3,17,0.015043001448900138,0,0.17659352719783783
clean,3,18,0.015029510004660573,0,0.17662708461284637
clean,3,19,0.015020919375337628,0,0.17664919793605804
clean,3,20,0.015015770198409951,0,0.17666438221931458
clean,3,21,0.015012497664507643,0,0.17667163908481598
clean,3,22,0.015010640648130893,0,0.17667727172374725
clean,3,23,0.01500939571788465,0,0.17667989432811737
clean,3,24,0.015008730847778425,0,0.17668206989765167
clean,3,25,0.015008343583263889,0,0.17668327689170837
clean,3,26,0.015008057657382494,0,0.17668385803699493
clean,3,27,0.015007965458695644,0,0.17668482661247253
clean,3,28,0.015007799521905008,0,0.1766839176416397
clean,3,29,0.015007768753735051,0,0.1766844093799591
clean,3,30,0.015007818554803739,0,0.1766846776008606
clean,3,31,0.01500790676420489,0,0.1766849160194397
clean,3,32,0.015007872688171007,0,0.1766843944787979
clean,3,33,0.015007951080657812,0,0.17668481171131134
clean,3,34,0.015007937289891542,0,0.17668431997299194
clean,3,35,0.015008054603285805,0,0.1766842007637024
clean,3,36,0.015008113838513602,0,0.17668476700782776
clean,3,37,0.01500817107804736,0,0.17668402194976807
clean,3,38,0.015008224136736668,0,0.17668429017066956
clean,3,39,0.015008267633730052,0,0.17668388783931732
clean,3,40,0.015008334797557253,0,0.17668379843235016
clean,3,41,0.01500842332754993,0,0.17668350040912628
clean,3,42,0.015008430632125825,0,0.17668361961841583
clean,3,43,0.015008421644098586,0,0.1766827553510666
clean,3,44,0.015008534421913482,0,0.17668363451957703
clean,3,45,0.015008594863037088,0,0.17668326199054718
clean,3,46,0.015008639936657216,0,0.17668358981609344
clean,3,47,0.015008654368915993,0,0.1766829937696457
clean,3,48,0.015008734837546537,0,0.17668308317661285
clean,3,49,0.015008811054522623,0,0.17668332159519196
clean,4,0,0.14660650620344126,0,1.7418031692504883
clean,4,1,0.10343916648567113,0,1.5309336185455322
clean,4,2,0.05630658015214224,0,1.411964774131775
clean,4,3,0.016934202028041714,0,0.6368398666381836
clean,4,4,0.01986251330252046,0,0.2863403558731079
clean,4,5,0.022486730444687797,0,0.20843790471553802
clean,4,6,0.02284102053272003,0,0.21195176243782043
clean,4,7,0.023141990767186118,0,0.20925964415073395
clean,4,8,0.023004626743401844,0,0.208857461810112
clean,4,9,0.023126782815746177,0,0.21005283296108246
clean,4,10,0.02306500212539027,0,0.20926330983638763
clean,4,11,0.02312741096045323,0,0.21000775694847107
clean,4,12,0.02310650195259121,0,0.20955628156661987
clean,4,13,0.023131895145497364,0,0.2098820060491562
clean,4,14,0.02312383742081634,0,0.20970115065574646
clean,4,15,0.02313268523113556,0,0.20983168482780457
clean,4,16,0.023129796592465574,0,0.20976808667182922
clean,4,17,0.023132891059329554,0,0.20981718599796295
clean,4,18,0.0231319776013044,0,0.20979630947113037
